MAC;Id;Name;IsEnabled;CreatedAt;UpdatedAt
60:77:71:5D:DE:28;60af95855b05620007da5216;B21030729;PRAWDA;27.05.2021 14:50;
60:77:71:60:C3:02;60af95855b05620007da51f5;B21032144;PRAWDA;27.05.2021 14:50;
60:77:71:5F:D8:5F;60a7704d5b05620007da503b;B21031240;PRAWDA;21.05.2021 10:33;
60:77:71:5F:D7:72;60950dad4c22070007d66503;K6-001361;PRAWDA;07.05.2021 11:51;18.05.2021 12:40
60:77:71:60:C5:1A;609e63124c22070007d667d5;K6-000353;PRAWDA;14.05.2021 13:46;18.05.2021 12:40
60:77:71:60:C6:87;609e630d4c22070007d6663c;K6-007471;PRAWDA;14.05.2021 13:46;24.05.2021 10:00
60:77:71:5F:EB:78;60a770495b05620007da4f13;B21030559;PRAWDA;21.05.2021 10:33;
60:77:71:60:C8:AB;60af95845b05620007da51bf;B21032170;PRAWDA;27.05.2021 14:50;
60:77:71:60:BD:04;60a7704a5b05620007da4f61;K6-000849;PRAWDA;21.05.2021 10:33;24.05.2021 10:00
60:77:71:60:C4:6E;60af958a5b05620007da5355;B21031414;PRAWDA;27.05.2021 14:50;
60:77:71:60:C3:62;60950dac4c22070007d6648c;K3-001721;PRAWDA;07.05.2021 11:51;18.05.2021 12:40
60:77:71:5F:E9:F1;60a7704d5b05620007da5046;K3-004838;PRAWDA;21.05.2021 10:33;02.06.2021 11:11
60:77:71:61:03:02;6024065a7f522d0007fb0278;K3-003895;PRAWDA;10.02.2021 17:14;15.02.2021 14:52
60:77:71:60:CB:37;609e630c4c22070007d665f1;K3-001115;PRAWDA;14.05.2021 13:46;18.05.2021 12:40
60:77:71:60:FE:AA;60af95885b05620007da52f2;B21030687;PRAWDA;27.05.2021 14:50;
60:77:71:5F:EC:BE;60950daf4c22070007d66579;K6-004074;PRAWDA;07.05.2021 11:51;18.05.2021 12:40
60:77:71:60:C6:B4;609e630d4c22070007d6660f;K3-004153;PRAWDA;14.05.2021 13:46;18.05.2021 12:40
60:77:71:5F:EA:CC;609e630f4c22070007d66712;B21031757;PRAWDA;14.05.2021 13:46;
60:77:71:60:C5:0A;60a7704e5b05620007da50ab;B21031286;PRAWDA;21.05.2021 10:33;
60:77:71:60:D1:8D;60af95855b05620007da51fe;B21032190;PRAWDA;27.05.2021 14:50;
60:77:71:5F:EB:56;609e630f4c22070007d6671c;B21031759;PRAWDA;14.05.2021 13:46;
60:77:71:5D:E3:58;60a7704e5b05620007da508d;K6-000009;PRAWDA;21.05.2021 10:33;24.05.2021 10:00
60:77:71:60:C3:5A;609e63114c22070007d667cb;K3-004707;PRAWDA;14.05.2021 13:46;18.05.2021 12:40
60:77:71:60:CB:10;60950dac4c22070007d66489;K3-001930;PRAWDA;07.05.2021 11:51;18.05.2021 12:40
60:77:71:5F:EB:57;60950dae4c22070007d66513;K3-004551;PRAWDA;07.05.2021 11:51;18.05.2021 12:40
60:77:71:61:01:7F;60a7704f5b05620007da50f5;B21032627;PRAWDA;21.05.2021 10:33;
60:77:71:60:C4:5A;609e630d4c22070007d66641;K6-007629;PRAWDA;14.05.2021 13:46;24.05.2021 10:00
60:77:71:5F:D8:7F;60af95865b05620007da5241;K3-000591;PRAWDA;27.05.2021 14:50;17.06.2021 12:23
60:77:71:60:CC:61;609e630d4c22070007d66659;B21032070;PRAWDA;14.05.2021 13:46;
60:77:71:60:CC:06;60950dac4c22070007d66488;K3-004013;PRAWDA;07.05.2021 11:51;18.05.2021 12:40
60:77:71:60:CC:4B;609e63104c22070007d66771;K3-004733;PRAWDA;14.05.2021 13:46;18.05.2021 12:40
60:77:71:60:D0:F0;60af95875b05620007da52a6;B21032296;PRAWDA;27.05.2021 14:50;
60:77:71:5D:E1:89;6024065b7f522d0007fb0284;K6-006728;PRAWDA;10.02.2021 17:14;15.03.2021 14:44
60:77:71:5F:D7:2C;60af958d5b05620007da5451;B21030249;PRAWDA;27.05.2021 14:50;
60:77:71:60:C6:89;60af95885b05620007da5303;B21031594;PRAWDA;27.05.2021 14:50;
60:77:71:60:C9:BD;60af958b5b05620007da53d9;B21031458;PRAWDA;27.05.2021 14:50;
60:77:71:5F:D8:2B;60af958c5b05620007da5406;B21031656;PRAWDA;27.05.2021 14:50;
60:77:71:60:C6:CF;60af958d5b05620007da541b;B21031617;PRAWDA;27.05.2021 14:50;
60:77:71:5D:DC:E9;60af95865b05620007da5238;B21030755;PRAWDA;27.05.2021 14:50;
60:77:71:5F:E9:F3;60a7704d5b05620007da505a;B21031258;PRAWDA;21.05.2021 10:33;
60:77:71:61:03:47;60af95895b05620007da532d;B21030790;PRAWDA;27.05.2021 14:50;
60:77:71:5F:D8:54;60950daf4c22070007d66588;K6-008014;PRAWDA;07.05.2021 11:51;18.05.2021 12:40
60:77:71:60:C5:17;60950dac4c22070007d66474;K3-003371;PRAWDA;07.05.2021 11:51;18.05.2021 12:40
60:77:71:5F:D7:DE;60a7704e5b05620007da5099;K3-004607;PRAWDA;21.05.2021 10:33;15.06.2021 10:23
60:77:71:5F:D8:90;60af95845b05620007da51dd;B21031036;PRAWDA;27.05.2021 14:50;
60:77:71:5F:E9:C8;60950daf4c22070007d6656c;K3-003823;PRAWDA;07.05.2021 11:51;18.05.2021 12:40
60:77:71:61:04:10;60950db04c22070007d665d4;K6-000894;PRAWDA;07.05.2021 11:51;18.05.2021 12:40
60:77:71:5F:D8:42;60af95895b05620007da5333;B21030843;PRAWDA;27.05.2021 14:50;
60:77:71:60:C4:78;60a7704b5b05620007da4f9a;B21030171;PRAWDA;21.05.2021 10:33;
60:77:71:5F:ED:81;60a7704d5b05620007da5051;B21031283;PRAWDA;21.05.2021 10:33;
60:77:71:61:03:1F;6024065b7f522d0007fb0296;K3-001026;PRAWDA;10.02.2021 17:14;15.02.2021 14:52
60:77:71:61:03:1D;6024065a7f522d0007fb026e;K3-003478;PRAWDA;10.02.2021 17:14;15.03.2021 14:34
60:77:71:5D:DF:20;60af95835b05620007da5175;B21032350;PRAWDA;27.05.2021 14:50;
